name,about,link,investor,exit
HomeAway,HomeAway is the world's leading online marketplace for vacation rentals and bed &amp; breakfasts- connecting homeowners- property managers and innkeepers with the millions of travelers who seek the space- privacy and affordability of alternative accommodations instead of hotels.,https://homeaway.com,<a href='/team/david-krane'>David Krane</a><a href='/team/joe-kraus'>Joe Kraus</a>,* NASDAQ: AWAY
HomeLight,HomeLight is a real estate technology company that matches homebuyers and sellers with top real estate agents.,https://www.homelight.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
Instawork,Instawork helps local businesses quickly fill permanent and temporary openings with the most qualified professionals in their communities.,https://instawork.com,<a href='/team/jessica-verrilli'>Jessica Verrilli</a>,No Exit Yet
Jaunt,Jaunt is developing next-generation technology for creating cinematic virtual reality- enabling creatives to film- edit- and process live-action content for virtual reality viewers.,https://www.jauntvr.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
JumpCam,JumpCam makes it easy to create collaborative videos. Start a video- invite others to add clips- and JumpCam stitches everything together into a single movie.,https://jumpcam.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
Kabam,Kabam is leading the next wave of gaming by publishing Massively Multiplayer Social Games that combine the best elements of traditional and social gaming.,https://kabam.com,<a href='/team/joe-kraus'>Joe Kraus</a>,* Acquired by Netmarble- 2017
Kamcord,Kamcord allows users to record and share video of their mobile game play.,https://www.kamcord.com,<a href='/team/joe-kraus'>Joe Kraus</a>,* Acquired by Lyft- 2017
Kitchen United,Kitchen United provides flexible kitchen space optimized for food delivery networks,https://kitchenunited.com,<a href='/team/adam-ghobarah'>Adam Ghobarah</a>,No Exit Yet
Lambda School,Lambda School is a 30 week- immersive program that gives you the tools and training you need to launch your new careerfrom the comfort of your own home.,https://lambdaschool.com,,No Exit Yet
LawPivot,LawPivot is a legal website enabling companies- especially startups- to confidentially receive crowdsourced legal answers from highly qualified lawyers for a fraction of the cost.,https://www.lawpivot.com,,* Acquired by Rocket Lawyer- 2013
Le Tote,Le Tote offers unlimited womens apparel and accessory rentals for only $49 a month.,https://www.letote.com,,No Exit Yet
Lemonade,Lemonade is a licensed insurance carrier- offering homeowners and renters insurance powered by artificial intelligence and behavioral economics.,https://lemonade.com,<a href='/team/tom-hulme'>Tom Hulme</a>,No Exit Yet
LendUp,LendUp is a better alternative to payday loans. LendUp loans are exclusively offered online and on your mobile device so they are convenient- fast- and easy to use.,https://www.lendup.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
LevelUp,LevelUp is a free mobile app that enables you to pay with your phone.,https://www.thelevelup.com,<a href='/team/rich-miner'>Rich Miner</a>,No Exit Yet
Light,The Light camera combines advanced optics with powerful software- making beautiful photography more accessible than ever before.,https://www.light.co,<a href='/team/andy-wheeler'>Andy Wheeler</a>,No Exit Yet
Lola,Lola is a new kind of travel company that provides on-demand- personal travel service through a mobile app.,https://www.lola.com,<a href='/team/john-lyman'>John Lyman</a>,No Exit Yet
LostMyName,LostMyName creates a personalized reading experience for children- customizing picture books based on the letters in a child's name.,https://lostmy.name,,No Exit Yet
Luvocracy,Luvocracy is a marketplace built around social sharing and trusted tastemakers.,https://www.luvocracy.com,<a href='/team/david-krane'>David Krane</a>,* Acquired by WalmartLabs- 2014
Luxe,Luxe is an on-demand valet parking service- sending valets to park your car wherever you are in San Francisco.,https://www.luxevalet.com,<a href='/team/andy-wheeler'>Andy Wheeler</a>,* Acquired by Volvo- 2017
MessageMe,MessageMe is a fast and fun way to chat. Drop the need for SMS and exchange one-on-one or group text messages worldwide at no cost.,https://www.messageme.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Yahoo- 2014
Milk,Milk is a mobile application incubator. (Exited portfolio in March 2012.),No Link,,* Acquired by Google- 2012
MindSumo,MindSumo helps companies identify quality student recruits by having them solve real-world challenges to prove their skills.,https://www.mindsumo.com,<a href='/team/andy-wheeler'>Andy Wheeler</a>,No Exit Yet
Modsy,Modsy allows you to see inspirational designs and decor within the context of your own home.,https://www.modsy.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
N3twork,N3twork is a new type of content application that is reinventing the Internet experience with your interests at the very center.,https://www.n3twork.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
Nextdoor,Nextdoor is a private social network for the neighborhood. Using Nextdoors online platform- neighbors get to know one another- exchange local advice- and organize virtual neighborhood watches to reduce crime.,https://www.nextdoor.com,<a href='/team/david-krane'>David Krane</a>,No Exit Yet
ngmoco,ngmoco games are played more than 50 million minutes a day and have been downloaded more than 60 million times on Apple's iOS devices. The company's Plus+ social network has over 13.5 million registered users.,https://www.ngmoco.com,<a href='/team/joe-kraus'>Joe Kraus</a>,* Acquired by DeNA- 2010
NoRedInk,NoRedInk is a Web-based learning platform that helps students improve their grammar and writing skills.,https://www.noredink.com,,No Exit Yet
Opendoor,Opendoor is revolutionizing home buying and selling with a streamlined process designed to put you at the center of your move.,https://opendoor.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
Osito,Osito is a location-based predictive intelligence application that gives you the information you need- right when you need it.,https://www.getosito.com,,No Exit Yet
Packagd,Packagd is building a family of apps offering a new mobile shopping experience.,https://packagd.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
Periscope,Periscope lets you broadcast live video to the world. Going live instantly notifies your followers who can join- comment- and send you hearts in real time.,https://www.periscope.tv,<a href='/team/mg-siegler'>M.G. Siegler</a>,* Acquired by Twitter- 2015
Peerspace,Peerspace is an online marketplace that lets professionals and businesses book thousands of unique spaces directly from local hosts.,https://www.peerspace.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
The Pill Club,The Pill Club is a birth control prescription and delivery service that aims to create better access to affordable reproductive healthcare.,https://thepillclub.com,<a href='/team/frederique-dame'>Frederique Dame</a>,No Exit Yet
Pocket,Pocket is the leading service for content shifting. Its for when people discover an interesting article- video or web page- but dont have time to view it. Once saved to Pocket- the list of content is visible on any device  phone- tablet or computer  even offline.,https://www.getpocket.com,<a href='/team/joe-kraus'>Joe Kraus</a>,* Acquired by Mozilla- 2017
Poynt,Poynt created a smart payment terminal to help small businesses access best-in-class technology with elegantly designed software and hardware.,https://getpoynt.com,<a href='/team/karim-faris'>Karim Faris</a>,No Exit Yet
Product Hunt,Product Hunt surfaces the best new products- every day. It's a place for product-loving enthusiasts to share and geek out about the latest mobile apps- websites- hardware projects- and tech creations.,https://www.producthunt.com,,* Acquired by AngelList- 2016
Reserve,Reserve is a personal dining concierge in your pocket- helping you book a table at a restaurant and pay the bill all on your phone.,https://reserve.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,* Acquired by Resy- 2018
Resolution Games,Resolution Games is the first virtual reality games studio that solely focuses on creating accessible- fun games that everyone can enjoy.,https://www.resolutiongames.com,,No Exit Yet
RetailMeNot,RetailMeNot is the worlds leading digital coupon marketplace. The companys websites enable consumers across the globe to save money with hundreds of thousands of digital coupons from retailers. (Initial public offering on July 19- 2013. (SALE)),https://retailmenot.com,<a href='/team/karim-faris'>Karim Faris</a>,* NASDAQ: SALE
Ripple Labs,Ripple Labs is a company committed to minimizing the costs of payments. The company created the Ripple Protocol- an open payment protocol that enables free- instant payments across the globe in any currency  including dollars- yen- euros- bitcoins- and even loyalty points.,https://www.ripplelabs.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
Rise,Rise is a mobile platform that connects people with personal nutrition coaches to help achieve health goals.,https://rise.us,<a href='/team/mg-siegler'>M.G. Siegler</a>,* Acquired by One Medical Group- 2016
Robinhood,Robinhood is your stock market companion. With Robinhood you can monitor investor sentiment and learn from the wisdom of the crowd.,https://www.robinhoodapp.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
Rockbot,Rockbot is a social jukebox service for businesses that lets customers discover whats playing- see other DJs- and vote on the queue right from their phones.,https://www.rockbot.com,,No Exit Yet
Scan,Scan connects the real world with the digital universe through QR codes and other mobile technologies.,https://www.scan.me,<a href='/team/david-krane'>David Krane</a>,* Acquired in 2014
Schematic Labs,Schematic Labs makes SoundTracking- which combines music identification- photo-sharing- and location check-ins to enable you to share the soundtrack to your life.,https://www.schematiclabs.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Rhapsody- 2014
Secret Escapes,Secret Escapes offers exclusive rates for luxury hand-picked hotels and vacations.,https://www.secretescapes.com,<a href='/team/tom-hulme'>Tom Hulme</a>,No Exit Yet
Seedling,Seedling merges modern technology and classic materials to reimagine play for kids aged 2-12.,https://www.seedling.com,<a href='/team/tyson-clark'>Tyson Clark</a>,No Exit Yet
Smarterer,Smarterer is a platform designed to score individuals on digital- social- and technical skills. Using crowdsourced test design and a scoring mechanism similar to the one developed to rank chess masters- Smarterer can identify someone's skill in just 60 seconds with 10 questions.,https://www.smarterer.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Pluralsight- 2014
Snowball,Snowball makes it easier to keep track of all of your conversations by showing messages from your favorite social apps in one place.,https://www.trysnowball.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,* Acquired by Credit Karma- 2015
Sold,Sold is a new mobile service that reinvents the selling process for online marketplaces. Sold makes selling easy through smart pricing analytics and a refined user experience.,https://www.usesold.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Dropbox- 2013
Spring,Spring is an e-commerce platform that makes mobile shopping easier.,https://www.shopspring.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,* Acquired by ShopRunner- 2018
Stamped,Stamped is a new way for friends to put their stamp of approval on only what they like bestrestaurants- books- movies- music- and more.,https://www.stamped.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Yahoo!- 2012
Subtext,Subtext is a digital reading company with a vision to power the largest community of readers- authors- and experts in the pages of ebooks. The service's social networking and enrichment features lay over standard ebooks to transform reading into a social activity and connect books to the Web.,https://www.subtext.com,<a href='/team/karim-faris'>Karim Faris</a>,* Acquired by Renaissance Learning- 2013
Swell,Swell provides instant access to streaming audio news and information. Over time- it personalizes your stream with content based on your preferences and the wisdom of the community.,https://www.swell.am,<a href='/team/joe-kraus'>Joe Kraus</a>,* Acquired in 2014
Swing Education,Swing Education matches top educators to flexible substitute teaching opportunities at local schools.,https://swingeducation.com,<a href='/team/laura-melahn'>Laura Melahn</a>,No Exit Yet
The Players' Tribune,The Players Tribune is a media company that provides athletes with a platform to connect directly with their fans- in their own words. Through long- and short-form stories- video series- and podcasts- The Players Tribune brings fans closer than ever to the games they love.,https://www.theplayerstribune.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
TravelJoy,TravelJoy helps you book your ideal client faster- with less legwork.,https://www.traveljoy.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
TuneIn,TuneIn is a free service that lets people listen to music- sports- and news from around the world. TuneIn offers over 70-000 stations and 2 million on-demand programs- making it easy for people to listen to what they love.,https://tunein.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
Turo,Turo is a car rental marketplace where travelers can rent any car they want- wherever they want it- from a nationwide community of local car owners.,https://turo.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
Twyla,Twyla is changing the way people buy art by connecting them to exclusive limited edition works from top contemporary artists.,https://www.twyla.com,<a href='/team/david-krane'>David Krane</a>,No Exit Yet
UberSense,UberSense is creating a smart software solution that helps athletes achieve their full athletic ability using video and collaboration.,https://www.ubersense.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Hudl- 2014
Udacity,Udacity provides online courses and credentials to bring accessible- affordable- and highly effective higher education to the world.,https://www.udacity.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
Upstart,Upstart is an online lending platform that goes beyond the FICO score to finance people based on signals of their potential- including schools attended- area of study- academic performance- and work history. Their proprietary underwriting model identifies high quality borrowers despite limited credit and employment experience.,https://www.upstart.com,,No Exit Yet
Upthere,Upthere is building the future of the cloud.,https://www.upthere.com,<a href='/team/karim-faris'>Karim Faris</a>,* Acquired by Western Digital- 2017
VIDA,VIDA is an online retail store of exclusive apparel designed by a partnership of designers- artists- and makers from around the world.,https://shopvida.com,,* Acquired by Cimpress- 2018
Vungle,Vungle helps mobile app developers promote their apps through video trailers.,https://www.vungle.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
Walker and Company,Walker and Company makes health and beauty products for people of color.,https://www.walkerandcompany.com,,* Acquired by Procter & Gamble- 2018
Wander,Wander is a beautiful way to share and experience the world.,https://www.onwander.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Yahoo!- 2014
Zeus Living,Zeus leases unfurnished- privately-owned homes and convert them into expertly appointed- convenient- and full-service corporate housing units for todays global professional.,https://zeusliving.com,,No Exit Yet
Abacus,Abacus is a simple way to manage business expenses. Managers save money with increased control- and employees get paid back right away.,https://www.abacus.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,* Acquired by Certify- 2018
Acalvio,Acalvio provides advanced threat defense solutions to detect- engage- and respond to malicious activity through a unique combination of deception and data science.,https://www.acalvio.com,<a href='/team/tyson-clark'>Tyson Clark</a>,No Exit Yet
Adelphic Mobile,Adelphic Mobile enables targeted- audience-based advertising at scale.,https://www.adelphic.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Viant- 2017
Ambition,Ambition helps companies track and motivate their sales organizations with a gamified- fantasy football-like productivity platform.,https://www.ambition.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
Andela,Andela extends engineering teams by recruiting the most talented developers on the African continent- shaping them into technical leaders- and placing them at companies as full-time distributed team members.,https://www.andela.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
AngelList,AngelList is a platform that makes fundraising efficient for both startups and investors.,https://angel.co,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
Anomali,Anomali addresses cyber security challenges for organizations of all sizes by correlating millions of threat indicators against real time network activity logs and historical forensic log data.,https://anomali.com,<a href='/team/karim-faris'>Karim Faris</a>,No Exit Yet
Apptentive,Apptentive provides mobile customer engagement software that helps companies listen to- engage with- and retain their customers through intelligent in-app messages- surveys- and ratings prompts.,https://www.apptentive.com,<a href='/team/tyson-clark'>Tyson Clark</a>,No Exit Yet
Apptimize,Apptimize provides A/B testing for native mobile apps on Android and iOS.,https://apptimize.com,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
Appurify,Appurify provides a complete solution for automatically testing and debugging mobile apps. Appurifys platform offers live access to real- fully-configurable iOS and Android devices in the cloud- accompanied by powerful testing and debugging tools.,https://www.appurify.com,<a href='/team/karim-faris'>Karim Faris</a>,* Acquired by Google- 2014
Apteligent,Apteligent offers tools that empower mobile developers and PMs to troubleshoot- prioritize- and resolve issues damaging their users app experience.,https://www.apteligent.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by VMWare- 2017
Buoyant,Buoyant helps you fearlessly build productive- safe- and reliable cloud native platforms.,https://buoyant.io,<a href='/team/dave-munichiello'>Dave Munichiello</a>,No Exit Yet
Bugsnag,Bugsnag monitors web- mobile- and server apps for errors & reports all diagnostic data.,https://www.bugsnag.com,<a href='/team/dave-munichiello'>Dave Munichiello</a>,No Exit Yet
Carnival Mobile,Carnival Mobile is a mobile marketing platform that helps brands manage their users and publish campaigns across mobile audiences.,https://www.carnival.io,,* Acquired by Sailthru- 2016
Censys,Censys is the gold standard in data-driven security used by researchers- corporations- and governments to find and analyze every device connected to the Internet.,https://censys.io,<a href='/team/karim-faris'>Karim Faris</a>,No Exit Yet
Checkr,Checkr runs automated background checks- providing businesses with pre-employment background screenings and driving records.,https://checkr.io,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
CircleUp,CircleUp enables equity based crowdfunding for private consumer companies. Through CircleUp- individuals can invest collectively in outstanding private businesses.,https://www.circleup.com,<a href='/team/david-krane'>David Krane</a>,No Exit Yet
Clarifai,Clarifai brings deep machine learning to visual search with a fast and low-error image recognition system.,https://www.clarifai.com,<a href='/team/blake-byers'>Blake Byers</a><a href='/team/erik-nordlander'>Erik Nordlander</a>,No Exit Yet
ClearStory Data,ClearStory Data is focused on enabling self-driven big data exploration. ClearStory Data is making it easy for business users to gather and explore big- diverse- dispersed data from databases- Hadoop- and the Web for more intuitive insights.,https://www.clearstorydata.com,<a href='/team/karim-faris'>Karim Faris</a>,No Exit Yet
CliQr Technologies,CliQr Technologies enables existing business applications to fluidly move to and between clouds.,https://www.cliqr.com,<a href='/team/karim-faris'>Karim Faris</a>,* Acquired by Cisco- 2016
Cmd,Cmd enables cloud-first organizations to reliably log- understand- predict- and control user behavior in their Linux environment.,https://cmd.com,<a href='/team/karim-faris'>Karim Faris</a>,No Exit Yet
Cockroach Labs,Cockroach Labs helps developers build and deploy scalable applications that can survive datacenter-scale outages.,https://cockroachlabs.com,<a href='/team/dave-munichiello'>Dave Munichiello</a><a href='/team/erik-nordlander'>Erik Nordlander</a>,No Exit Yet
Cohesity,Cohesity brings together fractured secondary data sources into a single platform- helping companies store- protect- and learn from their data instantly.,https://cohesity.com,<a href='/team/karim-faris'>Karim Faris</a>,No Exit Yet
Collaborate,Collaborate is a unified document sharing- task management- and team communication platform for today's mobile workforce.,https://www.collaborate.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Cisco- 2013
Copper,Copper is a new kind of productivity CRM that's designed to do all your busywork- so you can focus on building long-lasting business relationships.,https://www.copper.com,<a href='/team/tyson-clark'>Tyson Clark</a>,No Exit Yet
Corduro,Corduro offers a range of payment services for Internet- mobile- and traditional retail transactions.,https://www.corduro.com,<a href='/team/joe-kraus'>Joe Kraus</a>,No Exit Yet
Currencycloud,Currencycloud is reimagining the way money flows through the global digital economy- allowing payment firms to remove the friction and inefficiencies of traditional cross-border payments using its flexible APIs.,https://www.currencycloud.com,<a href='/team/tom-hulme'>Tom Hulme</a>,No Exit Yet
CyberGRX,CyberGRX is a cyber risk exchange platform designed to make it simple and cost effective to get up-to-date- comprehensive- one-click access to third-party cyber risk assessments.,https://www.cybergrx.com,<a href='/team/karim-faris'>Karim Faris</a>,No Exit Yet
Dasient,Dasient is a leader in anti-malware technology. Their suite of products protects the websites of e-commerce- media- web hosting- financial services- and other global enterprises from losses of data- revenue and reputation caused by web-based malware attacks.,https://dasient.twitter.com,<a href='/team/karim-faris'>Karim Faris</a>,* Acquired by Twitter- 2012
DataFox,DataFox is a data platform for insights on private company intelligence.,https://www.datafox.co,<a href='/team/karim-faris'>Karim Faris</a><a href='/team/dave-munichiello'>Dave Munichiello</a>,* Acquired by Oracle- 2018
Datanyze,Datanyze is a sales prospecting platform that provides sales and marketing professionals with data on who is using competitors' sites- helping optimize for lead generation- customer retention- and targeting.,https://www.datanyze.com,,No Exit Yet
Delighted,Delighted provides businesses with actionable feedback from customers using a single question survey and the Net Promoter System.,https://delighted.com,<a href='/team/tyson-clark'>Tyson Clark</a>,* Acquired by Qualtrics- 2018
Determined AI,Determined AI is an early stage company at the forefront of machine learning technology. We reduce time-to-market by increasing developer productivity- improving resource (GPU) utilization- and reducing risk.,https://determined.ai,<a href='/team/dave-munichiello'>Dave Munichiello</a>,No Exit Yet
Dialpad,Dialpad provides cloud-based voice- messaging- video- and meetings that let the most innovative companies connect everyone- be everywhere- and create anything.,https://www.dialpad.com,<a href='/team/rich-miner'>Rich Miner</a>,No Exit Yet
Divide,Divide enables professionals to consolidate work and personal life onto a single mobile device without compromises. Its dual persona technology contains great productivity apps and complete personal and IT cloud management. (Divide was acquired by Google in May 2014.),https://www.divide.com,<a href='/team/rich-miner'>Rich Miner</a>,* Acquired by Google- 2014
Egnyte,Egnyte delivers cloud and hybrid-cloud storage and file-sharing solutions for businesses  from small office to enterprise organizations. Combining the scalability and security of the cloud with the speed and availability of local access- Egnyte increases business users productivity while allowing IT to maintain control.,https://www.egnyte.com,<a href='/team/karim-faris'>Karim Faris</a>,No Exit Yet
Emissary,Emissary connects experts with specialized knowledge to companies and teams that find their knowledge uniquely valuable.,https://www.emissary.io,<a href='/team/mg-siegler'>M.G. Siegler</a>,No Exit Yet
Evident.io,Evident.io is a leader in cloud infrastructure security- providing a cloud-native SaaS solution that automates security processes and compliance.,https://www.evident.io,<a href='/team/tyson-clark'>Tyson Clark</a>,* Acquired by Palo Alto Networks- 2018
Fauna,FaunaDB is the first adaptive operational databasebuilt from the ground up to scale digital business without compromising productivity or agility.,https://www.fauna.com,<a href='/team/tyson-clark'>Tyson Clark</a>,No Exit Yet
Flexport,Flexport is a freight management platform that helps companies optimize global supply chains.,https://www.flexport.com,<a href='/team/andy-wheeler'>Andy Wheeler</a>,No Exit Yet
Flux,Flux is reimagining sustainable building design by providing collaborative design software to the construction industry.,https://www.flux.io,,No Exit Yet
Framed,Framed helps businesses retain high-value customers through predictive machine learning products.,https://www.framed.io,<a href='/team/mg-siegler'>M.G. Siegler</a>,* Acquired by Square- 2016
Freshplum,Freshplum is building a unique analytics solution to drive companies sales decisions with data science and mathematics.,https://www.freshplum.com,,* Acquired by TellApart- 2014
FullStory,FullStory helps product and support teams easily understand the customer experience by capturing every user event with a simple script.,https://www.fullstory.com,<a href='/team/karim-faris'>Karim Faris</a>,No Exit Yet
GitLab,GitLabs platform accelerates the development process with an emphasis on collaboration and automation.,https://about.gitlab.com,<a href='/team/dave-munichiello'>Dave Munichiello</a>,No Exit Yet
GoCardless,GoCardless makes collecting by Direct Debit easy for everyone from individuals to multi-national corporations.,https://gocardless.com,<a href='/team/tom-hulme'>Tom Hulme</a>,No Exit Yet
Gusto,Gusto reimagines payroll- benefits- HR- and personal finance by automating the most complicated- impersonal business tasks and making them simple and delightful.,https://www.gusto.com,<a href='/team/blake-byers'>Blake Byers</a>,No Exit Yet
Harness,Harness is the first Continuous Delivery-as-a-Service platform that uses Machine Learning to simplify the entire process of delivering code from artifact into production  quickly- safely- securely- and repeatably.,https://harness.io,<a href='/team/adam-ghobarah'>Adam Ghobarah</a>,No Exit Yet
HeadSpin,HeadSpin is a testing platform for mobile apps that allows developers to test and monitor real devices instantly on global cell networks.,https://headspin.io,<a href='/team/karim-faris'>Karim Faris</a>,No Exit Yet
